question,question_nr,key,label
"What is your current professional status? (Assume a normal situation, without any COVID-19 measures).",intake.Q4,8,Other
What is your date of birth (year and month)?,intake.Q2,1,NA
What is your gender?,intake.Q1,0,Male
What is your gender?,intake.Q1,1,Female
What is your gender?,intake.Q1,2,Other
What is your home postal code?,intake.Q3,0,Postal code:
What is your home postal code?,intake.Q3,1,I prefer not to answer this question
What means of transportation do you typically use for your daily activities?,intake.Q7,0,Walking
What means of transportation do you typically use for your daily activities?,intake.Q7,1,Bike
What means of transportation do you typically use for your daily activities?,intake.Q7,2,Motorbike/scooter
What means of transportation do you typically use for your daily activities?,intake.Q7,3,Car
What means of transportation do you typically use for your daily activities?,intake.Q7,4,"Public transportation (bus, train, tube, etc)"
What means of transportation do you typically use for your daily activities?,intake.Q7,5,Other
Where did you first hear about the platform?,intake.Q17,0,Radio or television
Where did you first hear about the platform?,intake.Q17,1,In the newspaper or in a magazine
Where did you first hear about the platform?,intake.Q17,2,"The internet (a website, link, a search engine)"
Where did you first hear about the platform?,intake.Q17,3,By poster
Where did you first hear about the platform?,intake.Q17,4,Via family or friends
Where did you first hear about the platform?,intake.Q17,5,Via school or work
Where did you first hear about the platform?,intake.Q17,99,Other
Which of the following descriptions most closely matches with your main occupation?,intake.Q4h,2,"Services and sales workers (Personal Services Workers, Sales Workers, Personal Care Workers, Protective Services Workers)"
Which of the following descriptions most closely matches with your main occupation?,intake.Q4h,3,"Craft and related trades workers (Handicraft and printing workers, Food processing, wood working, garment and other craft and related trades workers,  Metal, machinery and related trades workers, Electrical and electronic trades workers, Building and related trades workers, excluding electricians)"
Which of the following descriptions most closely matches with your main occupation?,intake.Q4h,6,"Armed forces occupations (Commissioned armed forces officers, Armed forces occupations other ranks, Non-commissioned armed forces officers)"
Which of the following descriptions most closely matches with your main occupation?,intake.Q4h,7,"Managers (Chief Executives, Senior Officials and Legislators, Administrative and Commercial Managers, Production and Specialized Services Managers, Hospitality, Retail and Other Services Managers)"
Which of the following descriptions most closely matches with your main occupation?,intake.Q4h,8,"Professionals (Science and Engineering Professionals, Health Professionals,  Teaching Professionals, Business and Administration Professionals, Information and Communications Technology Professionals, Legal, Social and Cultural Professionals)"
Which of the following descriptions most closely matches with your main occupation?,intake.Q4h,9,"Technicians and associate professionals (Science and Engineering Associate Professionals, Health Associate Professionals, Business and Administration Associate Professionals, Legal, Social, Cultural and Related Associate Professionals, Information and Communications Technicians)"
Which of the following descriptions most closely matches with your main occupation?,intake.Q4h,10,"Clerical support workers (General and Keyboard Clerks, Customer Services Clerks,  Numerical and Material Recording Clerks, Other Clerical Support Workers)"
Which of the following descriptions most closely matches with your main occupation?,intake.Q4h,11,"Skilled agricultural, forestry and fishery workers"
Which of the following descriptions most closely matches with your main occupation?,intake.Q4h,12,"Plant and machine operators and assemblers (Stationary Plant and Machine Operators, Assemblers, Drivers and Mobile Plant Operators)"
Which of the following descriptions most closely matches with your main occupation?,intake.Q4h,13,"Elementary occupations (Cleaners and Helpers, Agricultural, Forestry and Fishery Labourers, Labourers in Mining, Construction, Manufacturing and Transport, Food Preparation Assistants, Street and Related Sales and Services Workers, Refuse Workers and Other Elementary Workers)"
Which of the following descriptions most closely matches with your main occupation?,intake.Q4h,5,Other
Which trimester of the pregnancy are you in?,intake.Q12b,0,First trimester (week 1-12)
Which trimester of the pregnancy are you in?,intake.Q12b,1,Second trimester (week 13-28)
Which trimester of the pregnancy are you in?,intake.Q12b,2,Third trimester (week 29-delivery)
Which trimester of the pregnancy are you in?,intake.Q12b,3,Don't know/would rather not answer
