et,en,ru
"See küsimus aitab meil kindlaks teha, kui paljudel inimestel päevas/nädalas sümptomid ilmnevad.",This question will help us to determine how many people are experiencing symptoms per day/week.,"Этот вопрос поможет нам определить, сколько людей испытывают симптомы в день/неделю."
Püüdke vastata võimalikult täpselt.,Answer as precisely as possible.,Ответьте как можно точнее.
Valige kuupäev,Choose date,Выберите дату
Ma ei tea/ei mäleta,I don't know/can't remember,Не знаю/Не помню
Millal teie sümptomid kadusid?,When did your symptoms end?,Когда у вас закончились симптомы?
"Saame kasutada kaebuste esimest ja viimast kuupäeva, et arvutada, kui kaua teie kaebused kestsid.",We can use the first and last dates of the complaints to calculate how long your complaints lasted. ,"Мы можем использовать первую и последнюю даты подачи жалоб, чтобы подсчитать, как долго продолжались ваши жалобы."
Ma olen endiselt haige.,I am still ill,Я все еще болен
Kas teie sümptomid tekkisid äkiliselt mõne tunni jooksul?,Did your symptoms develop suddenly over a few hours?,Ваши симптомы развились внезапно в течение нескольких часов?
Sümptomite äkiline ilmnemine (mõne tunni jooksul) on seotud koroonaviiruse ja gripiga.,The sudden onset of symptoms (within a few hours) is linked to the coronavirus and influenza.,«Внезапное появление симптомов (в течение нескольких часов) связано с коронавирусом и гриппом.
"Vastake “jah”, kui teie sümptomid ilmnesid mõne tunni jooksul, mitte järk-järgult mitme päeva jooksul.","Answer “yes” if your symptoms appeared within a few hours, and not gradually over a period of several days.","Ответьте «да», если ваши симптомы появились в течение нескольких часов, а не постепенно в течение нескольких дней."
"Mis päeval teil palavik algas? Kui te ei mäleta täpset kuupäeva, märkige ligikaudne kuupäev.","On what day did your fever start? If you do not recall the exact date, please give an approximate date.","В какой день у вас началась температура? Если вы не помните точную дату, укажите приблизительную."
"Palavik on oluline diagnostiline sümptom, seega tahaksime teada, millal palavik tekkis.","Fever is an important diagnostic symptom, so we would like to know when the fever appeared.","Высокая температура тела является важным диагностическим симптомом, поэтому мы хотели бы знать, когда она появилась."
Kas teie palavik tekkis äkiliselt mõne tunni jooksul?,Did your fever develop suddenly over a few hours?,У вас возникла высокая температура внезапно в течение нескольких часов?
Sümptomite äkiline ilmnemine (mõne tunni jooksul) on seotud koroonaviiruse ja gripiga.,The sudden onset of symptoms (within a few hours) is linked to the coronavirus and influenza.,Внезапное появление симптомов (в течение нескольких часов) связано с коронавирусом и гриппом.
Kas te kraadisite ennast?,Did you take your temperature?,Вы измеряли температуру?
"Kui olete end kraadinud, soovime teada kõrgeimat kehatemperatuuri, mille olete mõõtnud.","If you have taken your temperature, we would like to know the highest body temperature you have measured.","Если вы измеряли температуру, мы хотели бы знать самую высокую температуру тела, которую вы измерили."
Kuidas ma peaksin sellele vastama?,How should I answer it?,Как мне ответить на этот вопрос?
"Vastake „jah“, kui mõõtsite kehatemperatuuri kraadiklaasiga.","Answer yes, if you took your temperature using a thermometer.","Ответьте утвердительно, если вы измеряли температуру с помощью термометра."
Mis oli teie kõrgeim mõõdetud temperatuur?,What was your highest temperature measured?,Какая у вас была измерена самая высокая температура?
Teatud nakkushaigused põhjustavad kehatemperatuuri tõusu.,Certain infectious diseases cause a raised temperature.,Некоторые инфекционные заболевания вызывают повышение температуры.
"Palun märkige kõrgeim kehatemperatuur, mille mõõtsite sümptomite ilmnemise perioodil.",Please indicate the highest temperature you measured during the period in which you experienced your symptoms.,"Пожалуйста, укажите самую высокую температуру, которую вы измеряли в тот период, когда у вас наблюдались симптомы."
"Alla 37,0 °C",Below 37.0°C,"Ниже 37,0 °С"
"37,0 °C - 37,4 °C",37.0°C - 37.4°C,"От 37,0 °С до 37,4 °С"
"37,5°C – 37,9°C",37.5°C - 37.9°C,"От 37,5 °C до 37,9 °C"
"38,0 °C - 38,9 °C",38.0°C - 38.9°C,"От 38,0°C до 38,9 °C"
"39,0 °C – 39,9 °C",39.0°C - 39.9°C,"От 39,0 °C до 39,9 °C"
"40,0 °C või rohkem",40.0°C or more,"40,0 °C или выше"
"Täname teid kogu selle teabe eest. Need aitavad meil hinnata sümptomite esinemissagedust elanikkonna hulgas. Võite siin lõpetada. Kui teil on veidi rohkem aega, soovitame teil vastata täiendavatele küsimustele oma sümptomite ja ravi kohta. Kas olete nõus neile lisaküsimustele vastama?","Thank you for all these information. They will help us to estimate the frequency of symptoms among general population. You can stop here. If you have a little more time, we propose you to answer further questions about your symptoms and care. Do you accept to answer to these additional questions?","Спасибо за всю эту информацию. Она поможет нам оценить частоту симптомов среди населения в целом. На этом вы можете остановиться. Если у вас есть немного больше времени, мы предлагаем вам ответить на дополнительные вопросы о ваших симптомах и лечении. Вы согласны ответить на эти дополнительные вопросы?"
"Tahame teada, kas olete nõus vastama järelküsimustele. Teie vastused järelküsimustele võivad meid meie uurimistöös aidata.",We want to know if you are willing to answer the follow-up questions. Your answers to the follow-up questions may assist our research.,"Мы хотим знать, готовы ли вы ответить на дополнительные вопросы. Ваши ответы на дополнительные вопросы могут помочь нашему исследованию."
Kas te KÜLASTASITE (näost näkku kohtumine või veebikonsultatsioon) oma sümptomite tõttu mõnda tervishoiuteenuse pakkujat?,"Because of your symptoms, did you VISIT (see face to face or teleconsultation) any medical services?","Из-за ваших симптомов, ПОСЕЩАЛИ ли вы (в ходе личной встречи или телеконсультации) какие-либо медицинские услуги?"
Miks me seda küsime?,Why are we asking this?,Почему мы это спрашиваем?
"Selleks, et teada saada, kas inimesed pöörduvad oma sümptomite tõttu tervishoiuteenuse osutaja poole.",To find out whether people contact the health services because of their symptoms.,"Чтобы выяснить, обращаются ли люди в службы здравоохранения из-за симптомов."
"Märkige kõik need, mis sobivad. Kui alles kavatsete külastada, märkige viimane valik.","Tick all of those that apply. If you are due to see attend, then tick the final option.","Отметьте все подходящие. Если у вас назначено посещение, отметьте последний вариант."
Võimalik mitu vastust.,Multiple answers possible.,Возможно несколько ответов
Perearst või pereõde,GP or GP's practice nurse,Семейный врач или семейная медсестра
Haigla vastuvõtt,Hospital admission,Госпитализация
Haigla EMO / väljaspool tööaega,Hospital accident & emergency department / out of hours service,Больничное отделение экстренной медицины (ОЭМ/EMO) / обслуживание в нерабочее время
Muud tervishoiuteenuse pakkujad,Other medical services,Другие медицинские услуги
"Ei, aga mul on vastuvõtt kokku lepitud","No, but I have an appointment scheduled","Нет, но у меня назначен визит"
Kui kiiresti pärast sümptomite ilmnemist te esimest korda seda tervishoiuteenuse osutajat KÜLASTASITE?,How soon after your symptoms appeared did you first VISIT this medical service?,Как скоро после появления симптомов Вы впервые ПОСЕТИЛИ данное медицинское учреждение?
"Et teada saada, kui kiiresti haigusnähtudega inimesed tervishoiuteenuse osutaja juurde jõuavad.",To find out how quickly people with symptoms are seen by the health services.,"Чтобы узнать, как быстро службы здравоохранения принимают людей с симптомами."
Kuidas ma peaksin sellele vastama?,How should I answer it?,Как мне на это ответить?
"Märkige üles ainult aeg, mis kulus ESIMESE kontaktini tervishoiuteenuse osutajaga.",Only record the time until your FIRST contact with the health services.,Напишите только время до ПЕРВОГО обращения в службы здравоохранения.
Valige õige päevade arv,Select the correct number of days,Выберите правильное количество дней
Tervishoiuteenus,Medical Service,Медицинское обслуживание
Perearst või pereõde,GP or GP'r practice nurse,Семейный врач или семейная медсестра
Samal päeval,Same day,В тот же день
1 päev,1 day,1 день
2 päeva,2 days,2 дня
3 päeva,3 days,3 дня
4 päeva,4 days,4 дня
5-7 päeva,5 - 7 days,5–7 дней
Rohkem kui 7 päeva,More than 7 days,Более 7 дней
Haigla EMO / väljaspool tööaega,Hospital accident & department/out of hours service,Больничное отделение экстренной медицины (ОЭМ/EMO) / обслуживание в нерабочее время
Muud tervishoiuteenust pakkujad,Other medical services,Другие медицинские услуги
"Mis on peamine põhjus, miks te täna teatatud sümptomite pärast ühegi tervishoiutöötajaga ei konsulteerinud?",What is the main reason for which you did not consult any health professional for the symptoms you declared today?,"Какова основная причина, по которой вы не обратились ни к одному медицинскому работнику по поводу заявленных вами сегодня симптомов?"
"Selleks, et mõista, miks mõned inimesed ei pöördu arsti poole.",To understand why some people do not consult a doctor.,"Чтобы понять, почему некоторые люди не обращаются к врачу."
Minu sümptomid ilmnesid hiljuti,My symptoms appeared very recently,Мои симптомы появились совсем недавно
Minu sümptomid on kerged,My symptoms are mild,Мои симптомы легкие
Mul on need sümptomid sageli,I have these symptoms often,У меня часто бывают такие симптомы
"Ma arvan, et tean, mis mul viga on, ja ravin ennast ise",I think I know what I have and I self-medicate,"Думаю, я знаю, чем болею, и занимаюсь самолечением"
"Ma arvan, et minu haigusele ei ole efektiivset ravi",I think there is no effective treatment for the disease I have,"Я думаю, что не существует эффективного лечения моего заболевания"
Väga raske on saada kiiresti vastuvõtuaega,It is too hard to get an appointment quickly,Слишком сложно быстро записаться на прием
Mul ei ole aega,I do not have time,У меня нет времени
Rahalistel põhjustel,For financial reasons,По финансовым причинам
"Kardan tagajärgi, kui arst arvab, et mul on COVID-19",For fear of consequences if the doctor thinks I have COVID-19,"Из опасения последствий, если врач решит, что у меня COVID-19"
Kuna ma olen COVID-19 vastu vaktsineeritud,Because I am vaccinated against COVID-19,Потому что я привит(а) от COVID-19
Muul põhjusel,For another reason,По другой причине
Kirjeldage siin (valikuline),Describe here (optional),Опишите здесь (необязательно)
Ma ei tea / ma ei taha vastata,I don't know / I don't want to answer,Не знаю/Не хочу отвечать
"Kas te tegite oma sümptomite tõttu testi/analüüsid, et teada saada, kas teil on COVID-19?","Because of your symptoms, did you undergo a test/analyses to know if you have COVID-19?",В связи с вашими симптомами проходили ли вы тест/анализы на предмет наличия у вас COVID-19?
"Tahame teada, millised kaebused sunnivad inimesi koroonaviiruse testi tegema.",We want to know which complaints lead people to get tested for the coronavirus.,"Мы хотим знать, какие жалобы заставляют людей проходить тестирование на коронавирус."
"Veel mitte, kavatsen testi teha varsti","Not yet, I plan to shortly undergo a test","Пока нет, планирую в ближайшее время пройти обследование"
"Ei, mul on saatekiri, kuid ma ei lähe testima","No, I have a referral but will not undergo a test","Нет, у меня есть направление, но я не буду проходить обследование"
Milline analüüs(id) see/need oli?,Which analyse(s) was it?,Какой анализ (какие анализы) это был(и)?
"Oleme huvitatud sellest, kui paljud sümptomitega inimesed on testi teinud.",We are interested in knowing how many people with symptoms have udergone a test,"Нам интересно знать, сколько людей с симптомами прошли тест"
Võimalik mitu vastust,Multiple answers possible,Возможно несколько ответов
"PCR-test (viiruseotsing, tampooniga ninast või suust võetud või röga- või süljeproov)","A PCR test (virus search, on a swab in nose or mouth, or a sputum or saliva sample)","ПЦР-тест (поиск вируса на мазке из носа или рта, на образце мокроты или слюны)"
Seroloogiline analüüs (selle viiruse vastaste antikehade skriinimine sõrmeotsaverest või vereproovist),"A serological analysis (screening for antibodies against this virus, from a drop of blood at fingertip or a blood sample)",Серологический анализ (скрининг на антитела к этому вирусу из капли крови с кончика пальца или из образца крови)
"Antigeeni kiire tuvastamise test prooviga, mis on võetud nina tagaosast (nasofarüngeaalsete proovide võtmine, teeb tervishoiutöötaja või koolitatud isik, tampooniga, mis on sisestatud 15 cm kaugusele ninasse, tulemus saadakse vähem kui ühe tunniga)","A rapid antigen detection test on a sample realized in the back of the nose (nasopharyngeal sampling, done by a health professional or a trained person, with a swab inserted to 15 cm into the nose, result obtained in less than one hour)","Быстрый тест на выявление антигена в образце, взятом в задней части носа (взятие проб из носоглотки, выполняемое медицинским работником или обученным лицом, с введением тампона в нос на глубину 15 см, результат получается менее чем за один час)"
"Ninaprooviga tehtud antigeeni kiirtest või automaatne test(1-4 cm ninasõõrmesse sisestatud tampooniga, proovi saab ise võtta, tulemus saadakse mõne minutiga)","A rapid antigen detection test or autotest done on a nasal sample (a swab inserted to 1 - 4 cm into the nostril, sampling that can be done by oneself, result obtained in a few minutes)","Быстрый тест на выявление антигена или автотест, проводимый на образце из носа (мазок, вставленный в ноздрю на глубину 1–4 см, образец можно сделать самостоятельно, результат получается через несколько минут)"
"Kas teate oma PCR-testi tulemust? (kui tehti mitu ja vähemalt üks oli positiivne, valige vastus “Positiivne”)","Do you know the result of your PCR test? (if several were performed and at least one was positive, chose the “Positive” answer)","Знаете ли вы результат вашего ПЦР-теста? (если было проведено несколько тестов и хотя бы один оказался положительным, выберите ответ «Положительный»)"
"Tahame mõista, kuidas koroonaviirus elanikkonnas levib.",We want to understand how the coronavirus is spreading within the population.,"Мы хотим понять, как коронавирус распространяется среди населения."
"Jah, positiivne COVID-19 suhtes","Yes, positive for COVID-19","Да, положительный на COVID-19"
"Jah, negatiivne COVID-19 suhtes","Yes, negative for COVID-19","Да, отрицательный на COVID-19"
"Jah, tulemused on ebaselged","Yes, the results are inconclusive","Да, результаты неубедительны"
"Ei, ma pole veel testi tulemusi teada saanud","No, I have not yet received the test results","Нет, я еще не получил результаты теста"
"Kas teate selle nasofarüngeaalse prooviga antigeeni kiirtesti tulemust? (Kui tehti mitu testi ja vähemalt üks oli positiivne, valige vastuseks “Positiivne”)","Do you know the result of this rapid antigen detection test on nasopharyngeal sample? (if several were performed and at least one was positive, chose the “Positive” answer)","Знаете ли вы результат этого экспресс-теста на выявление антигена в образце из носоглотки? (Если было проведено несколько тестов и хотя бы один был положительным, выберите ответ «Положительный»)"
"Kas teate selle ninaprooviga tehtud antigeeni kiirtesti või enesetesti tulemust? (Kui tehti mitu testi ja vähemalt üks oli positiivne, valige vastuseks “Positiivne”)","Do you know the result of this antigenic test or self-test on nasal sample? (if several were performed and at least one was positive, chose the “Positive” answer)","Знаете ли вы результат этого антигенного теста или самотестирования на образце из носа? (Если было проведено несколько тестов и хотя бы один был положительным, выберите ответ «Положительный»)"
"Kas te tegite oma sümptomite tõttu testi/analüüsid, et teada saada, kas teil on gripp?","Because of your symptoms, did you undergo a test/analyses to know if you have the Flu?",В связи с вашими симптомами проходили ли вы анализы/тесты на предмет наличия у вас гриппа?
"Tahame teada, millised kaebused sunnivad inimesi gripitesti tegema.",We want to know which complaints lead people to get tested for the flu.,"Мы хотим знать, какие жалобы заставляют людей проходить тестирование на грипп."
"Jah, PCR-test, mis põhineb tampooniga ninast või suust võetud proovil või röga- või süljeproovil","Yes, a PCR test based on a swab in nose or mouth, or a sputum or saliva sample","Да, ПЦР-тест на основе мазка из носа или рта либо образца мокроты или слюны"
"Jah, kiirtest (tulemus saadaval vähem kui tunni pärast)","Yes, a rapid detection test (result available in less than an hour)","Да, экспресс-тест (результат доступен менее чем через час)"
"Veel mitte, mul on saatekiri ja kavatsen teha testi varsti","Not yet, I have a referral and plan to shortly undergo a test","Пока нет, у меня есть направление, и я планирую в ближайшее время пройти обследование"
Kas olete saanud oma gripitesti tulemused?,Have you received the results of your Flu test?,Вы получили результаты теста на грипп?
"Tahame mõista, kuidas gripp elanikkonnas levib.",We want to understand how the flu is spreading within the population.,"Мы хотим понять, как грипп распространяется среди населения."
"Jah, test on gripi suhtes positiivne","Yes, the test is positive for influenza","Да, тест на грипп положительный"
"Jah, test on gripi suhtes negatiivne","Yes, the test is negative for influenza","Да, тест на грипп отрицательный"
"Ei, ma pole veel testi tulemusi teada saanud","No, I have not yet received the test results","Нет, я еще не получил(а) результаты теста"
Kas võtsite nende sümptomite vastu ravimeid?,Did you take medication for these symptoms?,Вы принимали лекарства от этих симптомов?
"Et teada saada, keda ravitakse ja kui efektiivne ravi on.","To find out who gets treated, and how effective treatment is.","Чтобы узнать, кого лечат, и насколько эффективно лечение."
"Märkige ainult need ravimid, mida kasutasite selle haiguse tõttu. Kui te võtate juba olemasoleva haiguse tõttu muid ravimeid, siis ärge neid märkige.",Only record those medications that you used because of this illness. If you are on other medications because of a pre-existing illness then do not record these.,"Напишите только те лекарства, которые вы использовали из-за этого заболевания. Если вы принимаете другие лекарства из-за уже имеющегося заболевания, не пишите их."
Märkige kõik sobivad valikud,Select all options that apply,Выберите все подходящие варианты
Ei võta ravimeid,No medication,Никаких лекарств
"Valuvaigistid (nt paratsetamool, ibuprofeen, aspiriin  jne)","Pain killers (e.g. paracetamol, ibuprofen, aspirin etc)","Обезболивающие (например, парацетамол, ибупрофен, аспирин и т. д.)"
Köharavimid (nt rögalahtistajad),Cough medication (e.g. expectorants),"Лекарства от кашля (например, отхаркивающие средства)"
Gripivastased preparaadid (nt: Tamiflu),Antivirals against influenza (eg: Tamiflu),Противовирусные средства против гриппа (например: «Тамифлю»
Antibiootikumid,Antibiotics,Антибиотики
Homöopaatia,Homeopathy,Гомеопатия
"Alternatiivmeditsiin (eeterlik õli, fütoteraapia jne)","Alternative medicine (essential oil, phytotherapy, etc.)","Нетрадиционная медицина (эфирные масла, фитотерапия и т. д.)"
Kas te sattusite oma sümptomite tõttu haiglasse?,"Because of your symptoms, were you hospitalized?",Из-за ваших симптомов вы были госпитализированы?
Miks me seda küsime?,Why are we asking this question?,Почему мы это спрашиваем?
"Tahame mõista, kui tihti määrati sümptomite tõttu haiglaravi",We want to understand the rates of hospitalization due to symptoms,Мы хотим понять уровень госпитализации из-за симптомов
Kas muutsite oma haiguse tõttu oma igapäevast rutiini?,Did you change your daily routine because of your illness?,Изменили ли вы свой распорядок дня из-за болезни?
"Selleks, et teha kindlaks, kuidas sümptomid teie igapäevaelu mõjutavad.",To determine how the symptoms are impacting your daily life.,"Чтобы определить, как симптомы влияют на вашу повседневную жизнь."
"Tahame teada, kas olete sümptomite tõttu töölt või koolist puudunud või olete oma igapäevast rutiini kuidagi muutnud (näiteks kui te ei saanud tegeleda spordiga). Kui olete üliõpilane ja te ei saanud oma sümptomite tõttu veebikursustel osaleda, peaksite valima ka 2. valiku. Oleme huvitatud muudatustest, mis tulenevad teie sümptomitest/kaebustest ja mitte mistahes karantiinist.","We want to know if you have missed work or school due to your symptoms, or if you have modified your daily routine in any way (for example, if you were unable to engage in sport activities). If you are a student, and were unable to attend online classes due to your symptoms, you should also select option 2. We are interested in changes due to your symptoms/complaints and not due to any quarantine.","Мы хотим знать, пропускали ли вы работу или учебу из-за симптомов или изменяли ли вы каким-либо образом свой распорядок дня (например, если вы не могли заниматься спортом). Если вы учащийся и не смогли посещать онлайн-занятия из-за симптомов, вам также следует выбрать вариант 2. Мы заинтересованы в изменениях из-за ваших симптомов/жалоб, а не вследствие карантина"
"Ei, ma sain teha oma igapäevaseid tegevusi nagu tavaliselt","No, I was able to go about my daily activities as usual","Нет, я мог(ла) заниматься своими повседневными делами как обычно"
"Jah, aga ma ei võtnud töölt/koolist vabaks","Yes, but I did not take time off work/school","Да, но я не брал(а) больничный на работе/учебе"
"Jah, ma võtsin koolist või töölt vabaks","Yes, I took time off school or work","Да, я брал(а) больничный на работе/учебе"
Kas te ei saa praegu ikka veel oma sümptomite/kaebuste tõttu töötada ega koolis käia?,Are you currently still unable to work or attend school due to your symptoms/complaints?,Вы в настоящее время все еще не можете работать или посещать учебу из-за ваших симптомов/жалоб?
"Selleks, et teha kindlaks, kuidas sümptomid teie igapäevaelu mõjutavad.?",To determine how the symptoms are impacting your daily life.,"Чтобы определить, как симптомы влияют на вашу повседневную жизнь."
"Vastake 'jah', kui jätsite täna teatud sümptomite tõttu tööle või kooli minemata.",Answer 'yes' if you missed work or school today due to certain symptoms.,"Ответьте «да», если вы пропустили сегодня работу или учебу из-за определенных симптомов."
Muu (ma ei pidanud täna igal juhul töötama ega koolis käima),Other (I did not have to work or go to school today in any case),"Другое (мне в любом случае сегодня не нужно было ни работать, ни ходить на учебу)"
Mitu päeva te pole saanud normaalselt töötada/koolis käia (kui te muidu ei oleks saanud)?,For how many days have you been unable to work normally/go to school (when you otherwise would have)?,Сколько дней вы не могли нормально работать/ходить на учебу (когда в противном случае вы бы это делали)?
"Selleks, et arvutada päevade arvu, mille jooksul inimene teatud sümptomite tõttu töölt või koolist puudub.",To calculate the number of days a person misses work or school due to certain symptoms.,"Чтобы подсчитать количество дней, в течение которых человек пропускает работу или учебу из-за определенных симптомов."
"Arvestage ainult neid päevi, mil te muidu oleksite tööl või koolis käinud. Esitage võimalikult täpne hinnang.",Only count the days that you would otherwise have gone to work or school. Provide as precise an estimate as possible.,"Считайте только те дни, когда в противном случае вы пошли бы на работу или в школу. Дайте как можно более точную приблизительную оценку."
5 päeva,5 days,5 дней
6 kuni 10 päeva,6 to 10 days,От 6 до 10 дней
11 kuni 15 päeva,11 to 15 days,От 11 до 15 дней
Rohkem kui 15 päeva,More than 15 days,Более 15 дней
Kas hakkasite oma sümptomite tõttu järgima või rohkem järgima mõnda allolevatest meetmetest (võrreldes perioodiga enne sümptomite ilmnemist)?,"Did you begin to follow or increase any of the measures below, due to your symptoms (compared to the period before your symptoms began)?",Начали ли вы соблюдать какие-либо из приведенных ниже мер или ужесточать их из-за ваших симптомов (по сравнению с периодом до появления симптомов)?
"Selleks, et uurida, kuidas erinevaid meetmeid järgitakse.",To examine how different measures are being followed.,"Чтобы изучить, как соблюдаются различные меры."
"Näiteks 'Vältige kätlemist': Vastake 'jah', kui kätlete oma sümptomite tõttu vähem või üldse mitte; Vastake 'Ei, ma ei järgi seda meedet', kui jätkate oma sümptomitest hoolimata kätlemist; Vastake 'Ei, ma juba järgisin seda meedet', kui te olite juba enne sümptomite ilmnemist kätlemise lõpetanud ja te ei muutnud seda käitumist.","For example, 'Avoid shaking hands': Answer 'yes' if you shake hands less or not at all due to your symptoms; Answer 'No, I am not following this measure' if you continue to shake hands despite your symptoms; Answer 'No, I was already following this measure' if you had already stopped shaking hands before the onset of your symptoms and you did not change this behaviour.","Например, «Избегать рукопожатия»: ответьте «Да», если вы меньше пожимаете руки или не пожимаете их вообще из-за симптомов; ответьте «Нет, я не соблюдаю эту меру», если вы продолжаете пожимать руки, несмотря на симптомы; ответьте «Нет, я уже соблюдал(а) эту меру», если вы прекратили рукопожатия еще до появления симптомов и не изменили своего поведения."
Täidetakse valikuliselt,To be completed optionally,Заполняется по желанию
